Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
1,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,15000,102000
2,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,28000,102000
3,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,30000,102000
4,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,32000,102000
5,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,35000,102000
6,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,38000,102000
7,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,42000,102000
8,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,45000,102000
9,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,50000,102000
10,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,54000,102000
11,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,59000,102000
12,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,64000,102000
13,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,68000,102000
14,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,74000,102000
15,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,80000,102000
16,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,87000,102000
17,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,95000,102000
18,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,107000,102000
19,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,127000,102000
20,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,214000,102000
1,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,17000,23000
2,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,27000,26000
3,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,30000,12000
4,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,33000,19000
5,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,35000,27000
6,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,38000,42000
7,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,42000,41000
8,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,45000,40000
