Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
1,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,15000,101000
2,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,27000,101000
3,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,30000,101000
4,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,32000,101000
5,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,35000,101000
6,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,38000,101000
7,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,41000,101000
8,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,45000,101000
9,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,49000,101000
10,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,54000,101000
11,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,58000,101000
12,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,63000,101000
13,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,67000,101000
14,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,73000,101000
15,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,79000,101000
16,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,85000,101000
17,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,94000,101000
18,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,106000,101000
19,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,125000,101000
20,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,212000,101000
1,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,17000,22000
