Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
17,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,93000,49000
18,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,104000,39000
19,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,124000,38000
20,Income Quantiles,Household,Aged 16-35,Equivalised Disposable Income,Equivalised Disposable Income,201000,22000
1,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,15000,31000
2,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,26000,26000
3,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,29000,15000
4,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,32000,21000
5,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,35000,27000
6,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,38000,36000
7,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,41000,36000
8,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,45000,38000
9,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,49000,37000
10,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,53000,42000
11,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,58000,40000
12,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,62000,40000
13,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,67000,40000
14,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,72000,42000
15,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,78000,37000
16,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,85000,41000
17,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,93000,39000
18,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,105000,41000
19,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,124000,37000
20,Income Quantiles,Household,Aged 36-50,Equivalised Disposable Income,Equivalised Disposable Income,201000,33000
1,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,15000,48000
2,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,26000,29000
3,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,29000,12000
4,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,32000,18000
5,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,34000,20000
6,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,38000,23000
7,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,41000,24000
8,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,45000,27000
9,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,49000,33000
10,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,53000,31000
11,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,58000,35000
12,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,62000,39000
13,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,67000,34000
14,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,72000,37000
15,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,78000,38000
16,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,85000,34000
17,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,93000,38000
18,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,104000,38000
19,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,125000,40000
20,Income Quantiles,Household,Aged 51-64,Equivalised Disposable Income,Equivalised Disposable Income,213000,48000
1,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,15000,90000
2,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,26000,64000
3,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,29000,33000
4,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,32000,49000
5,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,35000,61000
6,Income Quantiles,Household,Aged 16-64,Equivalised Disposable Income,Equivalised Disposable Income,38000,73000
