Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
1,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,15000,103000
2,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,28000,103000
3,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,31000,103000
4,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,33000,103000
5,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,35000,103000
6,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,39000,103000
7,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,42000,103000
8,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,46000,103000
9,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,51000,103000
10,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,55000,103000
11,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,60000,103000
12,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,65000,103000
13,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,70000,103000
14,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,75000,103000
15,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,82000,103000
16,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,88000,103000
17,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,97000,103000
18,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,109000,103000
19,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,130000,103000
20,Income Quantiles,Household,All households,Equivalised Disposable Income,Equivalised Disposable Income,218000,103000
1,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,17000,22000
2,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,28000,25000
3,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,31000,11000
4,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,33000,18000
5,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,36000,28000
6,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,39000,40000
7,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,42000,43000
8,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,46000,40000
9,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,51000,41000
10,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,55000,38000
11,Income Quantiles,Household,Aged 0-15,Equivalised Disposable Income,Equivalised Disposable Income,60000,40000
